Docset,File,URL,Python,Term_Total,MSAuthor,Author,Manager,MSDate,MSService,MSTopic,H1,Title,Description
MicrosoftDocs/azure-docs-pr,d:\g\azure-docs-pr\articles\app-service\containers\tutorial-custom-docker-image.md,http://docs.microsoft.com/azure/app-service/containers/tutorial-custom-docker-image,17,17,cfowler,SyntaxC4,SyntaxC4,10/24/2017,app-service,tutorial,"Use a custom Docker image for Web App for Containers
",Use a custom Docker image for Web App for Containers - Azure App Service | Microsoft Docs,How to use a custom Docker image for Web App for Containers.
MicrosoftDocs/azure-docs-pr,d:\g\azure-docs-pr\articles\azure-functions\functions-create-function-linux-custom-image.md,http://docs.microsoft.com/azure/azure-functions/functions-create-function-linux-custom-image,5,5,glenga,ggailey777,jeconnoc,2/25/2019,azure-functions,tutorial,"Create a function on Linux using a custom image
",Create Azure Functions on Linux using a custom image,Learn how to create Azure Functions running on a custom Linux image.
MicrosoftDocs/azure-docs-pr,d:\g\azure-docs-pr\articles\batch-ai\tutorial-horovod-tensorflow.md,http://docs.microsoft.com/azure/batch-ai/tutorial-horovod-tensorflow,4,4,danlep,johnwu10,jeconnoc,9/3/2018,batch-ai,tutorial,"Tutorial: Train a distributed model with Horovod
",Tutorial - Distributed training with Azure Batch AI and Horovod | Microsoft Docs,Tutorial - How to train a distributed model with Horovod using the Azure Batch AI service and Azure CLI.
MicrosoftDocs/azure-docs-pr,d:\g\azure-docs-pr\articles\batch\tutorial-parallel-python.md,http://docs.microsoft.com/azure/batch/tutorial-parallel-python,43,43,lahugh,laurenhughes,jeconnoc,11/29/2018,batch,tutorial,"Tutorial: Run a parallel workload with Azure Batch using the Python API
",Run a parallel workload - Azure Batch Python,Tutorial - Process media files in parallel with ffmpeg in Azure Batch using the Batch Python client library
MicrosoftDocs/azure-docs-pr,d:\g\azure-docs-pr\articles\batch\tutorial-rendering-cli.md,http://docs.microsoft.com/azure/batch/tutorial-rendering-cli,6,6,lahugh,laurenhughes,jeconnoc,12/11/2018,batch,tutorial,"Tutorial: Render a scene with Azure Batch 
",Render a scene in the cloud - Azure Batch,Tutorial - How to render an Autodesk 3ds Max scene with Arnold using the Batch Rendering Service and Azure Command-Line Interface
MicrosoftDocs/azure-docs-pr,d:\g\azure-docs-pr\articles\cognitive-services\Computer-vision\Tutorials\PythonTutorial.md,http://docs.microsoft.com/azure/cognitive-services/Computer-vision/Tutorials/PythonTutorial,11,11,kefre,KellyDF,nitinme,11/6/2018,cognitive-services,tutorial,"Tutorial: Computer Vision API Python
","""Tutorial: Perform image operations - Python""",Learn how to use the Computer Vision API with Python by using Jupyter notebooks. Visualize your results using popular libraries.
MicrosoftDocs/azure-docs-pr,d:\g\azure-docs-pr\articles\cognitive-services\Custom-Vision-Service\export-model-python.md,http://docs.microsoft.com/azure/cognitive-services/Custom-Vision-Service/export-model-python,15,15,areddish,areddish,nitinme,5/17/2018,cognitive-services,tutorial,"Tutorial: Run TensorFlow model in Python
","""Tutorial: Run TensorFlow model in Python - Custom Vision Service""",Run a TensorFlow model in Python.
MicrosoftDocs/azure-docs-pr,d:\g\azure-docs-pr\articles\cognitive-services\Labs\Anomaly-Finder\tutorials\python-tutorial.md,http://docs.microsoft.com/azure/cognitive-services/Labs/Anomaly-Finder/tutorials/python-tutorial,7,7,chliang,chliang,bix,5/1/2018,cognitive-services,tutorial,"Tutorial: Anomaly Detection with Python application
","""Tutorial: Anomaly Detection, Python""",Explore a Python notebook that uses the Anomaly Detection API. Send original data points to API and get the expected value and anomaly points.
MicrosoftDocs/azure-docs-pr,d:\g\azure-docs-pr\articles\cosmos-db\local-emulator-export-ssl-certificates.md,http://docs.microsoft.com/azure/cosmos-db/local-emulator-export-ssl-certificates,10,10,dech,deborahc,,6/6/2017,cosmos-db,tutorial,"Export the Azure Cosmos DB Emulator certificates for use with Java, Python, and Node.js
",Export the Azure Cosmos DB Emulator certificates,When developing in languages and runtimes that do not use the Windows Certificate Store you will need to export and manage the SSL certificates. This post gives step by step instructions.
MicrosoftDocs/azure-docs-pr,d:\g\azure-docs-pr\articles\cosmos-db\local-emulator.md,http://docs.microsoft.com/azure/cosmos-db/local-emulator,3,3,dech,deborahc,,4/20/2018,cosmos-db,tutorial,"Use the Azure Cosmos DB Emulator for local development and testing
",Develop locally with the Azure Cosmos DB Emulator,"Using the Azure Cosmos DB Emulator, you can develop and test your application locally for free, without creating an Azure subscription."
MicrosoftDocs/azure-docs-pr,d:\g\azure-docs-pr\articles\data-factory\transform-data-using-databricks-notebook.md,http://docs.microsoft.com/azure/data-factory/transform-data-using-databricks-notebook,3,3,abnarain,nabhishek,craigg,"""03/12/2018""",data-factory,tutorial,"Run a Databricks notebook with the Databricks Notebook Activity in Azure Data Factory
","""Run a Databricks Notebook with the Databricks Notebook activity in Azure Data Factory""","""Learn how you can use the Databricks Notebook Activity in an Azure data factory to run a Databricks notebook against the databricks jobs cluster."""
MicrosoftDocs/azure-docs-pr,d:\g\azure-docs-pr\articles\data-factory\tutorial-transform-data-spark-portal.md,http://docs.microsoft.com/azure/data-factory/tutorial-transform-data-spark-portal,5,5,douglasl,douglaslMS,craigg,1/10/2018,data-factory,tutorial,"Transform data in the cloud by using a Spark activity in Azure Data Factory
",'Transform data by using Spark in Azure Data Factory | Microsoft Docs','This tutorial provides step-by-step instructions for transforming data by using a Spark activity in Azure Data Factory.'
MicrosoftDocs/azure-docs-pr,d:\g\azure-docs-pr\articles\data-factory\tutorial-transform-data-spark-powershell.md,http://docs.microsoft.com/azure/data-factory/tutorial-transform-data-spark-powershell,5,5,douglasl,douglaslMS,craigg,1/22/2018,data-factory,tutorial,"Transform data in the cloud by using Spark activity in Azure Data Factory
",'Transform data using Spark in Azure Data Factory | Microsoft Docs','This tutorial provides step-by-step instructions for transforming data by using Spark Activity in Azure Data Factory.'
MicrosoftDocs/azure-docs-pr,d:\g\azure-docs-pr\articles\hdinsight\spark\apache-spark-load-data-run-query.md,http://docs.microsoft.com/azure/hdinsight/spark/apache-spark-load-data-run-query,3,3,hrasheed,hrasheed-msft,,11/6/2018,hdinsight,tutorial,"Tutorial: Load data and run queries on an Apache Spark cluster in Azure HDInsight
",'Tutorial: Load data and run queries on an Apache Spark cluster in Azure HDInsight ',Learn how to load data and run interactive queries on Spark clusters in Azure HDInsight.
MicrosoftDocs/azure-docs-pr,d:\g\azure-docs-pr\articles\iot-edge\tutorial-deploy-custom-vision.md,http://docs.microsoft.com/azure/iot-edge/tutorial-deploy-custom-vision,10,10,kgremban,kgremban,philmea,11/1/2018,iot-edge,tutorial,"Tutorial: Perform image classification at the edge with Custom Vision Service
",Tutorial deploy Custom Vision classifier to a device - Azure IoT Edge | Microsoft Docs,"In this tutorial, learn how to make a computer vision model run as a container using Custom Vision and IoT Edge."
MicrosoftDocs/azure-docs-pr,d:\g\azure-docs-pr\articles\key-vault\tutorial-python-linux-virtual-machine.md,http://docs.microsoft.com/azure/key-vault/tutorial-python-linux-virtual-machine,10,10,pryerram,prashanthyv,rajvijan,9/5/2018,key-vault,tutorial,"Tutorial: Use a Linux VM and a Python app to store secrets in Azure Key Vault
",Tutorial - Use a Linux virtual machine and a Python application to store secrets in Azure Key Vault | Microsoft Docs,"In this tutorial, you learn how to configure a Python application to read a secret from Azure Key Vault."
MicrosoftDocs/azure-docs-pr,d:\g\azure-docs-pr\articles\key-vault\tutorial-python-windows-virtual-machine.md,http://docs.microsoft.com/azure/key-vault/tutorial-python-windows-virtual-machine,5,5,pryerram,prashanthyv,rajvijan,9/5/2018,key-vault,tutorial,"Tutorial: Use Azure Key Vault with a Windows virtual machine in Python
",Tutorial - Use Azure Key Vault with a Windows virtual machine in Python | Microsoft Docs,"In this tutorial, you configure an ASP.NET core application to read a secret from your key vault."
MicrosoftDocs/azure-docs-pr,d:\g\azure-docs-pr\articles\machine-learning\service\tutorial-auto-train-models.md,http://docs.microsoft.com/azure/machine-learning/service/tutorial-auto-train-models,27,27,nilesha,nacharya1,,2/5/2019,machine-learning,tutorial,"Tutorial: Use automated machine learning to build your regression model
",'Regression model tutorial: Automated ML',"Learn how to generate a machine learning model by using automated machine learning. Azure Machine Learning can perform data preprocessing, algorithm selection, and hyperparameter selection in an automated way for you. Then the final model is deployed with Azure Machine Learning service."
MicrosoftDocs/azure-docs-pr,d:\g\azure-docs-pr\articles\machine-learning\service\tutorial-data-prep.md,http://docs.microsoft.com/azure/machine-learning/service/tutorial-data-prep,30,30,cforbe,cforbe,,2/4/2019,machine-learning,tutorial,"Tutorial: Prepare data for regression modeling
","""Regression model tutorial: Prepare data""","In the first part of this tutorial, you learn how to prepare data in Python for regression modeling by using the Azure Machine Learning SDK."
MicrosoftDocs/azure-docs-pr,d:\g\azure-docs-pr\articles\machine-learning\service\tutorial-deploy-models-with-aml.md,http://docs.microsoft.com/azure/machine-learning/service/tutorial-deploy-models-with-aml,18,18,haining,hning86,,1/29/2019,machine-learning,tutorial,"Tutorial: Deploy an image classification model in Azure Container Instances
","""Image classification tutorial: Deploy models""",This tutorial shows how to use Azure Machine Learning service to deploy an image classification model with scikit-learn in a Python Jupyter notebook. This tutorial is the second of a two-part series.
MicrosoftDocs/azure-docs-pr,d:\g\azure-docs-pr\articles\machine-learning\service\tutorial-train-models-with-aml.md,http://docs.microsoft.com/azure/machine-learning/service/tutorial-train-models-with-aml,31,31,haining,hning86,,1/28/2019,machine-learning,tutorial,"Tutorial: Train an image classification model with Azure Machine Learning service
","""Image classification tutorial: Train models""",This tutorial shows how to use Azure Machine Learning service to train an image classification model with scikit-learn in a Python Jupyter notebook. This tutorial is part one of a two-part series.
MicrosoftDocs/azure-docs-pr,d:\g\azure-docs-pr\articles\service-fabric\service-fabric-tutorial-create-container-images.md,http://docs.microsoft.com/azure/service-fabric/service-fabric-tutorial-create-container-images,5,5,suhuruli,suhuruli,timlt,9/15/2017,service-fabric,tutorial,"Tutorial: Create container images on a Linux Service Fabric cluster
",Create container images on Service Fabric in Azure | Microsoft Docs,"In this tutorial, you learn how to create container images for a multi-container Service Fabric application."
MicrosoftDocs/azure-docs-pr,d:\g\azure-docs-pr\articles\service-fabric\service-fabric-tutorial-java-deploy-azure.md,http://docs.microsoft.com/azure/service-fabric/service-fabric-tutorial-java-deploy-azure,4,4,suhuruli,suhuruli,msfussell,2/26/2018,service-fabric,tutorial,"Tutorial: Deploy a Java application to a Service Fabric cluster in Azure
",Deploy a Java app to a Service Fabric cluster in Azure | Microsoft Docs,"In this tutorial, learn how to deploy a Java Service Fabric application to an Azure Service Fabric cluster."
MicrosoftDocs/azure-docs-pr,d:\g\azure-docs-pr\articles\storage\blobs\data-lake-storage-use-databricks-spark.md,http://docs.microsoft.com/azure/storage/blobs/data-lake-storage-use-databricks-spark,9,9,dineshm,dineshmurthy,,1/29/2019,storage,tutorial,"Tutorial: Access Data Lake Storage Gen2 data with Azure Databricks using Spark
",'Tutorial: Access Azure Data Lake Storage Gen2 data with Azure Databricks using Spark | Microsoft Docs',This tutorial shows how to run Spark queries on a Azure Databricks cluster to access data in an Azure Data Lake Storage Gen2 storage account.
MicrosoftDocs/azure-docs-pr,d:\g\azure-docs-pr\articles\storage\blobs\storage-create-geo-redundant-storage.md,http://docs.microsoft.com/azure/storage/blobs/storage-create-geo-redundant-storage,30,30,tamram,tamram,,1/3/2019,storage,tutorial,"Tutorial: Build a highly available application with Blob storage
",'Tutorial: Build a highly available application with Blob storage - Azure Storage',Use read-access geo-redundant storage to make your application data highly available
